versioned_name,base_name,version,status,bucket,category,relevance_score,group_name,title,abstract,datatracker_url,date_seen,error
draft-abinabraham-vrrp-unicast-03,draft-abinabraham-vrrp-unicast,3,new-draft,ignored_after_review,ignored_after_review,0,none,Unicast Support for the Virtual Router Redundancy Protocol (VRRP),"The Virtual Router Redundancy Protocol (VRRP) Version 3 as specified
   in RFC 9568 assumes multicast operation on a shared LAN.  Some
   deployments require the VRRP first-hop redundancy function but cannot
   use multicast delivery for VRRP advertisements.  This document
   updates RFC 9568 by defining an optional configured unicast mode for
   VRRP Version 3 in which advertisements are sent to configured peer
   addresses rather than to the VRRP multicast group.  The VRRP packet
   format, state machine, protocol number, virtual IP semantics, and
   Virtual Router MAC behavior remain unchanged from RFC 9568.",https://datatracker.ietf.org/doc/draft-abinabraham-vrrp-unicast/,2026-09-16,
draft-admnr-lsr-igp-measurement-group-04,draft-admnr-lsr-igp-measurement-group,4,new-draft,ignored_after_review,ignored_after_review,0,none,Advertising IGP Active Measurement Groups in Router Capabilities,"This document defines IGP capability advertisements for measurement
   group membership for Active Measurement Protocols (AMPs) such as
   TWAMP and STAMP.  An IS-IS capability sub-TLV is defined for IS-IS
   and an OSPF Router Information (RI) LSA TLV is defined for OSPFv2 and
   OSPFv3.  The mechanism allows IGP routers to discover other routers
   participating in different measurement groups, enabling automatic
   discovery of measurement endpoints throughout an IS-IS or OSPF
   routing domain.  The solution uses a Group ID to identify measurement
   group membership, where the same interface address (IPv4 or IPv6) may
   be used for multiple measurement groups.  A corresponding BGP - Link
   State (BGP-LS) node-level attribute is defined to distribute
   measurement group membership beyond a single IGP domain.",https://datatracker.ietf.org/doc/draft-admnr-lsr-igp-measurement-group/,2026-09-16,
draft-arsentev-agent-run-metrics-00,draft-arsentev-agent-run-metrics,0,new-draft,monitor,adjacent_watchlist,5,none,Agent Run Metrics: A JSON Interchange Format for Resource Accounting of Language-Model Agent Runs,"Autonomous software agents driven by large language models execute
   multi-step runs in which the same conversational context is
   retransmitted to a model on every step.  The resulting resource
   consumption is dominated by repeated input rather than by generated
   output, and it is reported today in mutually incompatible, vendor-
   specific shapes.  This document defines Agent Run Metrics, a JSON
   interchange format that describes the resource consumption of a
   single agent run and of its constituent steps, together with a small
   set of derived quantities whose computation is specified exactly.  It
   states normatively that one reported step corresponds to one
   completed model invocation, so that the several records a runtime may
   write while a single response is produced are not mistaken for
   several invocations, and it defines how the consumption of delegated
   sub-runs is attributed without being counted twice.  The format
   carries counters, timing and cost attribution only; it deliberately
   excludes prompt and completion content.  This document also registers
   the associated media type and creates IANA registries for extensible
   enumerations.",https://datatracker.ietf.org/doc/draft-arsentev-agent-run-metrics/,2026-09-16,
draft-arsentev-llm-context-discovery-00,draft-arsentev-llm-context-discovery,0,new-draft,monitor,adjacent_watchlist,5,none,Discovery and Retrieval of Publisher-Curated Context Files for Large Language Model Consumers,"Publishers have begun to serve a curated, plain-text summary of a web
   origin intended for consumption by large language models and by the
   crawlers that feed them, most visibly under the de facto file name
   ""llms.txt"".  The practice has no specification, no media type, and —
   of direct operational consequence — no discovery mechanism: a
   consumer that does not already guess the path cannot learn that such
   a file exists.

   This document specifies discovery and retrieval for publisher-curated
   context files.  It defines the well-known URI ""llm-context"", the link
   relation type ""llm-context"", and an extension record for the robots
   exclusion protocol, so that a publisher may advertise a context file
   by three independent paths and a consumer may find it without
   guessing.  It specifies a two-tier arrangement of an index resource
   and optional detail resources, states conditional-request and size
   requirements that keep retrieval affordable for both parties, and
   describes the relationship of this mechanism to the robots exclusion
   protocol, to sitemaps, and to work in progress on expressing AI usage
   preferences.

   This document also reports measurements from an operational
   deployment in which twenty crawlers operated by search and language-
   model providers issued 44,005 requests to a host over fifteen days
   without once retrieving the context file the host was serving, while
   the same crawlers retrieved that host's robots.txt 577 times in the
   three days after the context file was deployed.  The absence of a
   discovery mechanism, rather than the absence of interest, is the
   hypothesis this document acts upon.",https://datatracker.ietf.org/doc/draft-arsentev-llm-context-discovery/,2026-09-16,
draft-bertoldi-regext-rdap-reliability-scoring-03,draft-bertoldi-regext-rdap-reliability-scoring,3,new-draft,ignored_after_review,ignored_after_review,0,none,RDAP Extension for Structured Reliability Assessment Metadata,"This document proposes an extension to the Registration Data Access
   Protocol (RDAP) that enables the representation and exchange of
   structured reliability assessment metadata for registrars and domain
   names.  The extension defines a structured assessment envelope
   through which an RDAP server can expose assessment results produced
   by a registry, registrar, or third-party assessor in a common,
   machine-readable format within RDAP responses.

   The extension standardizes how assessment results are transported and
   referenced, not how they are computed.  Scoring methodologies,
   thresholds, criteria, and governance frameworks are intentionally
   left to the operational and policy layer.  This document does,
   however, place requirements on the specification of any scheme whose
   results are intended for publication through RDAP, because publishing
   an evaluative judgement about an identified party without safeguards
   for notification, remediation, and contestation is not a safe
   practice.",https://datatracker.ietf.org/doc/draft-bertoldi-regext-rdap-reliability-scoring/,2026-09-16,
draft-besleaga-sustainability-wellknown-06,draft-besleaga-sustainability-wellknown,6,new-draft,ignored_after_review,ignored_after_review,0,none,The 'sustainability-data' Well-Known URI,"This document defines the ""sustainability-data"" well-known URI.  This
   URI provides a uniform, out-of-band convention for web servers and
   digital services to publish aggregated environmental impact, energy
   consumption, and carbon footprint metrics for a declared reporting
   subject -- typically the publishing origin itself.

   The convention publishes a single, cacheable JSON document per
   origin, described by formal schemas and discoverable at a fixed
   location without prior arrangement, so that environmental disclosures
   can be located, validated, and ingested automatically.  Publication
   is voluntary, and the metrics are self-asserted claims of the
   publisher, linked to the publisher's methodology and supporting
   evidence.",https://datatracker.ietf.org/doc/draft-besleaga-sustainability-wellknown/,2026-09-16,
draft-bruhns-securitytxt-product-security-00,draft-bruhns-securitytxt-product-security,0,new-draft,ignored_after_review,ignored_after_review,0,none,Product Security Fields for security.txt,"This document registers two new fields for the security.txt file
   format defined in RFC 9116: ""Product-Security"" and ""Product-Security-
   Policy"".  They allow an organisation to publish a dedicated contact
   and disclosure policy for vulnerabilities in the products it
   manufactures, distinct from the contact for vulnerabilities in its
   own web presence and infrastructure.  The fields are optional and
   fully backward compatible with existing security.txt parsers.",https://datatracker.ietf.org/doc/draft-bruhns-securitytxt-product-security/,2026-09-16,
draft-bu-agentproto-security-principal-binding-07,draft-bu-agentproto-security-principal-binding,7,new-draft,read_now,core_identity,15,none,Security Principal and Verifier Binding for Agent Communication Protocols,"Agent communication protocols often carry claims about user
   authority, agent instance identity, tool or external-resource
   identity, delegation state, session continuity, and action evidence.
   These claims have different verifiers, freshness requirements,
   failure modes, and security consequences.  If they are collapsed into
   a single token, identity label, session identifier, or audit record,
   protocol text can accidentally imply more authority or accountability
   than the receiver can actually verify.

   This document defines a verifier-facing model for separating those
   claims.  It provides a reusable matrix format that protocol authors
   can use to state, for each security-relevant claim, which field
   carries it, which party verifies it, what binding or freshness rule
   applies, what failure behavior is required when the claim is absent,
   stale, inconsistent, or not verifiable, and what constrained result
   an application may consume after successful verification.  It also
   separates specification status, implementation status, and evidence
   type so that reviewers can distinguish current protocol text,
   implementation evidence, inherited mechanisms, and architectural
   assumptions.  The document is protocol-neutral.  It is intended to
   help compare candidate agent communication drafts and to provide
   security-considerations and requirements text for agent session and
   delegation binding.

   The document also defines row-outcome semantics and dependency-
   closure rules for composed mappings.  These rules prevent a composite
   result from becoming stronger than its verified inputs, distinguish
   failed checks, unsupported verifier capabilities, checks skipped
   after a failed prerequisite, and unavailable or ambiguous inputs,
   propagate transitive dependency failures, and make cyclic, stale,
   downgraded, or revision-incoherent dependencies visible to reviewers.",https://datatracker.ietf.org/doc/draft-bu-agentproto-security-principal-binding/,2026-09-16,
draft-carpenter-gendispatch-anachronisms-07,draft-carpenter-gendispatch-anachronisms,7,new-draft,ignored_after_review,ignored_after_review,0,none,Some Anachronisms and Gaps in IETF Standards Process Documents,"This document discusses some aspects of documents describing the IETF
   standards process that have been overtaken by events, as well as
   identifying some gaps.  It covers the six-month expiry of Internet-
   Drafts, the reality of the two-stage standards process, and various
   other issues.  This draft is posted only to open a discussion.",https://datatracker.ietf.org/doc/draft-carpenter-gendispatch-anachronisms/,2026-09-16,
draft-cassandres-hacp-agency-arch-00,draft-cassandres-hacp-agency-arch,0,new-draft,monitor,authorization,5,none,Human Agency Continuity Protocol (HACP) Architecture,"This document describes the architecture of the Human Agency
   Continuity Protocol (HACP): a pre-execution authorization contract
   for tool-using agents.  HACP separates human intent, deterministic
   evaluation, cryptographic decision binding, and enforcement so that
   an agent cannot silently reinterpret authorized action after a
   decision is issued.

   This document is Informational.  It is not an Internet Standard.  It
   does not activate Enforcement revision 2 and does not claim general
   URI-normalization conformance.

   The acronym HACP in this series means Human Agency Continuity
   Protocol.  A separately posted individual Internet-Draft, draft-
   sunyi-hacp-protocol, uses the same four letters for a different
   protocol (Hardware Agent Capability Protocol) by a different author.
   The present author has no affiliation with that document.",https://datatracker.ietf.org/doc/draft-cassandres-hacp-agency-arch/,2026-09-16,
